Name,Price,Old Price,Discount,Rating
"SAMSUNG M15 5G Prime Edition (Stone Grey, 128 GB)","₹13,249","₹16,999",22% off,4.4
"SAMSUNG M15 5G Prime Edition (Stone Grey, 128 GB)","₹11,794","₹15,999",26% off,4.5
"SAMSUNG Galaxy A56 5G (Awesome Olive, 256 GB)","₹41,999","₹48,999",14% off,4.6
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,499","₹15,999",21% off,4.1
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 256 GB)","₹1,59,999",,,4.5
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹10,999","₹15,499",29% off,4.2
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)","₹41,999","₹48,999",14% off,4.6
"SAMSUNG Z Flip5 (Mint, 512 GB)","₹1,13,999",,,4.3
"SAMSUNG galaxy M15 5G (Stone Grey, 128 GB)","₹16,890","₹17,999",6% off,4.2
"SAMSUNG Galaxy F55 5G (Raisin Black, 256 GB)","₹26,999","₹34,999",22% off,4.1
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)","₹15,499","₹19,999",22% off,4.1
"SAMSUNG M16 5G (Blush Pink, 128 GB)","₹15,995","₹17,499",8% off,3.7
"SAMSUNG Galaxy A36 5G (Awesome Black, 128 GB)","₹30,990","₹35,999",13% off,4.3
"SAMSUNG Galaxy M16 5G (Blush Pink, 128 GB)","₹13,867","₹16,699",16% off,4.3
"SAMSUNG Galaxy Z Flip5 (Cream, 512 GB)","₹1,13,999",,,4.4
"SAMSUNG Glaxy S25 Plus 5G (Navy, 512 GB)","₹1,11,999",,,4.7
"SAMSUNG Galaxy S25 5G (Navy, 256 GB)","₹80,999",,,4.6
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)","₹23,999","₹30,990",22% off,4.1
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹44,999","₹89,999",50% off,4.6
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,490","₹18,490",27% off,4.2
"SAMSUNG Galaxy S25 5G (Navy, 512 GB)","₹92,999",,,4.6
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,488","₹19,999",22% off,4.1
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)","₹21,999","₹28,990",24% off,4.1
"SAMSUNG Galaxy A36 5G (Awesome White, 128 GB)","₹30,999","₹35,999",13% off,4.3
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 128 GB)","₹24,290","₹33,999",28% off,4.3
"SAMSUNG M06 5G (Blazing Black, 128 GB)","₹11,324","₹15,499",26% off,3.9
"SAMSUNG M55s (Thunder Black, 128 GB)","₹19,938","₹28,999",31% off,4.1
"SAMSUNG Galaxy F16 5G (Glam Green, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹37,999","₹84,999",55% off,4.4
"SAMSUNG Galaxy A26 5G (Awesome Black, 128 GB)","₹24,999","₹27,999",10% off,3.8
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹34,999","₹79,999",56% off,4.4
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹13,499","₹16,999",20% off,4.2
"SAMSUNG galaxy M15 5G (Blue Topaz, 128 GB)","₹14,249","₹17,999",20% off,4.2
"SAMSUNG M15 (Celestial Blue, 128 GB)","₹11,945","₹15,999",25% off,4.1
